Ref	Idx	Greek	Editions	TAGNT-Idx	SBL:Idx	SBL:TAGNT-Idx	NA28:Idx	NA28:TAGNT-Idx	RP05:Idx	RP05:TAGNT-Idx	|
Jhn.14.9	@1:2	χρόνῳ	SBL NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Jhn.14.9	@1:3	Τοσοῦτον	WH Treg RP TR	@80					@5	@80	|
Jhn.14.9	@1:4	χρόνον	WH Treg RP TR	@81					@6	@81	|
Jhn.14.9	@2:1	πῶς	SBL WH NA28 NA27 NIV	@22	@21	@22	@21	@22			|
Jhn.14.9	@2:2	καὶ	Treg RP TR	@21					@21	@21	|
Jhn.14.9	@2:3	πῶς	Treg RP TR	@22					@22	@22	|
Jhn.14.10	@1:1	λέγω	SBL WH Treg NA28 NA27 NIV	@18	@18	@18	@18	@18			|
Jhn.14.10	@1:2	λαλῶ	RP TR	@80					@18	@80	|
Jhn.14.10	@2:1	πατὴρ	SBL WH Treg RP NA28 NA27 NIV TR	@26	@26	@26	@26	@26	@26	@26	|
Jhn.14.10	@2:2	ὁ	Treg RP TR	@27					@27	@27	|
Jhn.14.10	@3:1	μένων	SBL WH Treg RP NA28 NA27 NIV TR	@30	@29	@30	@29	@30	@30	@30	|
Jhn.14.10	@3:2	αὐτὸς	RP TR	@31					@31	@31	|
Jhn.14.10	@4:1	αὐτοῦ	SBL WH Treg NA28 NA27 NIV	@35	@33	@35	@33	@35			|
Jhn.14.11	@1:1	πιστεύετε	SBL WH Treg RP NA28 NA27 NIV TR	@20	@20	@20	@20	@20	@20	@20	|
Jhn.14.11	@1:2	μοι	Treg RP TR	@21					@21	@21	|
Jhn.14.12	@1:1	πατέρα	SBL WH Treg RP NA28 NA27 NIV TR	@24	@24	@24	@24	@24	@24	@24	|
Jhn.14.12	@1:2	μου	RP TR	@25					@25	@25	|
Jhn.14.14	@1:1	με	SBL WH RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Jhn.14.14	@2:1	ἐγὼ	SBL Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Jhn.14.14	@2:2	τοῦτο	WH								|
Jhn.14.15	@1:1	τηρήσετε	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.14.15	@1:2	τηρήσατε	RP TR	@80					@8	@80	|
Jhn.14.16	@1:1	ᾖ	SBL WH Treg -RP TR	@16	@11	@16					|
Jhn.14.16	@1:2	μένῃ	RP TR	@82					@12	@82	|
Jhn.14.16	@2:1	αἰῶνα	SBL WH Treg RP NA28 NA27 NIV TR	@15	@16	@15	@15	@15	@17	@15	|
Jhn.14.16	@2:2	ᾖ	NA28 NA27 NIV	@16			@16	@16			|
Jhn.14.17	@1:1	γινώσκει	SBL WH Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Jhn.14.17	@1:2	αὐτό	Treg RP TR	@17					@17	@17	|
Jhn.14.17	@2:1	ὑμεῖς	SBL WH Treg RP NA28 NA27 NIV TR	@18	@17	@18	@17	@18	@18	@18	|
Jhn.14.17	@2:2	δὲ	Treg RP TR	@19					@19	@19	|
Jhn.14.17	@3:1	ἔσται	SBL RP NA28 NA27 NIV TR	@29	@27	@29	@27	@29	@29	@29	|
Jhn.14.17	@3:2	ἐστίν	WH Treg								|
Jhn.14.19	@1:1	ζήσετε	SBL WH Treg NA28 NA27 NIV	@18	@18	@18	@18	@18			|
Jhn.14.19	@1:2	ζήσεσθε	RP TR	@80					@18	@80	|
Jhn.14.20	@1:1	γνώσεσθε	SBL RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Jhn.14.20	@1:2	ὑμεῖς	SBL RP NA28 NA27 NIV TR	@6	@6	@6	@6	@6	@6	@6	|
Jhn.14.20	@1:3	ὑμεῖς	WH Treg								|
Jhn.14.20	@1:4	γνώσεσθε	WH Treg								|
Jhn.14.22	@1:1	τί	SBL WH Treg	@9	@8	@9					|
Jhn.14.22	@1:2	καὶ	RP NA28 NA27 NIV TR	@8			@8	@8	@8	@8	|
Jhn.14.22	@1:3	τί	RP NA28 NA27 NIV TR	@9			@9	@9	@9	@9	|
Jhn.14.23	@1:1	ποιησόμεθα	SBL WH Treg NA28 NA27 NIV	@29	@28	@29	@28	@29			|
Jhn.14.23	@1:2	ποιήσομεν	RP TR	@80					@28	@80	|
Jhn.14.26	@1:1	ὑμῖν	SBL WH Treg RP NA28 NA27 NIV TR	@26	@26	@26	@26	@26	@26	@26	|
Jhn.14.26	@1:2	ἐγώ	WH NA28 NA27 NIV	@27			@27	@27			|
Jhn.14.28	@1:1	ὅτι	SBL WH Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Jhn.14.28	@1:2	εἶπον	RP TR	@17					@17	@17	|
Jhn.14.28	@2:1	πατὴρ	SBL WH Treg RP NA28 NA27 NIV TR	@24	@23	@24	@23	@24	@24	@24	|
Jhn.14.28	@2:2	μου	RP TR	@25					@25	@25	|
Jhn.14.31	@1:1	ἐνετείλατο	SBL RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
Jhn.14.31	@1:2	ἐντολὴν	WH Treg								|
Jhn.14.31	@1:3	ἔδωκέν	WH Treg								|
Jhn.15.2	@1:1	καρπὸν	SBL WH Treg NA28 NA27 NIV	@18	@18	@18	@18	@18			|
Jhn.15.2	@1:2	πλείονα	SBL WH Treg NA28 NA27 NIV	@19	@19	@19	@19	@19			|
Jhn.15.2	@1:3	πλείονα	RP TR	@19					@18	@19	|
Jhn.15.2	@1:4	καρπὸν	RP TR	@18					@19	@18	|
Jhn.15.4	@1:1	μένῃ	SBL WH NA28 NA27 NIV	@18	@18	@18	@18	@18			|
Jhn.15.4	@1:2	μείνῃ	Treg RP TR	@80					@18	@80	|
Jhn.15.4	@2:1	μένητε	SBL WH Treg NA28 NA27 NIV	@29	@29	@29	@29	@29			|
Jhn.15.4	@2:2	μείνητε	RP TR	@81					@29	@81	|
Jhn.15.6	@1:1	μένῃ	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Jhn.15.6	@1:2	μείνῃ	RP TR	@80					@4	@80	|
Jhn.15.7	@1:1	αἰτήσασθε	SBL WH Treg NA28 NA27 NIV	@15	@15	@15	@15	@15			|
Jhn.15.7	@1:2	αἰτήσεσθε	RP TR	@80					@15	@80	|
Jhn.15.8	@1:1	γένησθε	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Jhn.15.8	@1:2	γενήσεσθε	RP TR	@80					@12	@80	|
Jhn.15.9	@1:1	ὑμᾶς	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Jhn.15.9	@1:2	ἠγάπησα	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.15.9	@1:3	ἠγάπησα	RP TR	@8					@7	@8	|
Jhn.15.9	@1:4	ὑμᾶς	RP TR	@7					@8	@7	|
Jhn.15.10	@1:1	τὰς	SBL Treg RP NA28 NA27 NIV TR	@13	@13	@13	@13	@13	@13	@13	|
Jhn.15.10	@1:2	ἐντολὰς	SBL Treg RP NA28 NA27 NIV TR	@14	@14	@14	@14	@14	@14	@14	|
Jhn.15.10	@1:3	τοῦ	SBL Treg RP NA28 NA27 NIV TR	@15	@15	@15	@15	@15	@15	@15	|
Jhn.15.10	@1:4	πατρός	SBL Treg RP NA28 NA27 NIV TR	@16	@16	@16	@16	@16	@16	@16	|
Jhn.15.10	@1:5	μου	SBL Treg RP NA28 NA27 NIV TR	@17	@17	@17	@17	@17	@17	@17	|
Jhn.15.10	@1:6	τοῦ	WH								|
Jhn.15.10	@1:7	πατρὸς	WH								|
Jhn.15.10	@1:8	τὰς	WH								|
Jhn.15.10	@1:9	ἐντολὰς	WH								|
Jhn.15.11	@1:1	ᾖ	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Jhn.15.11	@1:2	μείνῃ	RP TR	@80					@11	@80	|
Jhn.15.14	@1:1	ἃ	SBL Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Jhn.15.14	@1:2	ὃ	WH								|
Jhn.15.14	@1:3	ὅσα	RP TR	@8					@7	@8	|
Jhn.15.15	@1:1	λέγω	SBL WH Treg NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Jhn.15.15	@1:2	ὑμᾶς	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Jhn.15.15	@1:3	ὑμᾶς	RP TR	@3					@2	@3	|
Jhn.15.15	@1:4	λέγω	RP TR	@2					@3	@2	|
Jhn.15.18	@1:1	ὑμῶν	SBL WH Treg RP NA28 NA27 TR	@10	@10	@10	@10	@10	@10	@10	|
Jhn.15.21	@1:1	εἰς	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Jhn.15.21	@1:2	ὑμᾶς	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Jhn.15.21	@1:3	ὑμῖν	RP TR	@80					@5	@80	|
Jhn.15.22	@1:1	εἴχοσαν	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Jhn.15.22	@1:2	εἶχον	RP TR	@80					@9	@80	|
Jhn.15.24	@1:1	ἐποίησεν	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Jhn.15.24	@1:2	πεποίηκεν	RP TR	@80					@11	@80	|
Jhn.15.24	@2:1	εἴχοσαν	SBL WH Treg NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Jhn.15.24	@2:2	εἴχον	RP TR	@81					@14	@81	|
Jhn.15.25	@1:1	ἐν	SBL WH Treg NA28 NA27 NIV	@7	@7	@7	@7	@7			|
Jhn.15.25	@1:2	τῷ	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.15.25	@1:3	νόμῳ	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Jhn.15.25	@1:4	αὐτῶν	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Jhn.15.25	@1:5	γεγραμμένος	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Jhn.15.25	@1:6	γεγραμμένος	RP TR	@11					@7	@11	|
Jhn.15.25	@1:7	ἐν	RP TR	@7					@8	@7	|
Jhn.15.25	@1:8	τῷ	RP TR	@8					@9	@8	|
Jhn.15.25	@1:9	νόμῳ	RP TR	@9					@10	@9	|
Jhn.15.25	@1:10	αὐτῶν	RP TR	@10					@11	@10	|
Jhn.15.26	@1:1	Ὅταν	SBL WH Treg RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Jhn.15.26	@1:2	δὲ	Treg RP TR	@2					@2	@2	|
Jhn.16.4	@1:1	αὐτῶν	SBL WH Treg NA28 NA27	@10	@10	@10	@10	@10			|
Jhn.16.4	@2:1	αὐτῶν	SBL WH Treg RP NA28 NA27 TR	@12	@12	@12	@12	@12	@11	@12	|
Jhn.16.7	@1:1	γὰρ	SBL WH Treg RP NA28 NA27 NIV TR	@13	@13	@13	@13	@13	@13	@13	|
Jhn.16.7	@1:2	ἐγὼ	RP TR	@14					@14	@14	|
Jhn.16.7	@2:1	οὐ	SBL WH Treg	@80	@18	@80					|
Jhn.16.7	@2:2	μὴ	SBL WH Treg	@81	@19	@81					|
Jhn.16.7	@2:3	ἔλθῃ	SBL WH Treg	@82	@20	@82					|
Jhn.16.7	@2:4	οὐκ	RP NA28 NA27 NIV TR	@19			@18	@19	@19	@19	|
Jhn.16.7	@2:5	ἐλεύσεται	RP NA28 NA27 NIV TR	@20			@19	@20	@20	@20	|
Jhn.16.10	@1:1	πατέρα	SBL WH Treg RP NA28 NA27 NIV TR	@7	@7	@7	@7	@7	@7	@7	|
Jhn.16.10	@1:2	μου	RP TR	@8					@8	@8	|
Jhn.16.12	@1:1	ὑμῖν	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Jhn.16.12	@1:2	λέγειν	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Jhn.16.12	@1:3	λέγειν	RP TR	@5					@4	@5	|
Jhn.16.12	@1:4	ὑμῖν	RP TR	@4					@5	@4	|
Jhn.16.13	@1:1	ἐν	SBL NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Jhn.16.13	@1:2	τῇ	SBL NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Jhn.16.13	@1:3	ἀληθείᾳ	SBL NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Jhn.16.13	@1:4	πάσῃ	SBL NA28 NA27 NIV	@14	@14	@14	@14	@14			|
Jhn.16.13	@1:5	εἰς	WH Treg								|
Jhn.16.13	@1:6	τὴν	WH Treg								|
Jhn.16.13	@1:7	ἀλήθειαν	WH Treg								|
Jhn.16.13	@1:8	πᾶσαν	WH Treg								|
Jhn.16.13	@1:9	εἰς	RP TR	@80					@11	@80	|
Jhn.16.13	@1:10	πᾶσαν	RP TR	@83					@12	@83	|
Jhn.16.13	@1:11	τὴν	RP TR	@81					@13	@81	|
Jhn.16.13	@1:12	ἀλήθειαν	RP TR	@82					@14	@82	|
Jhn.16.13	@2:1	ἀκούσει	SBL Treg NA28 NA27 NIV	@23	@22	@23	@22	@23			|
Jhn.16.13	@2:2	ἀκούει	WH								|
Jhn.16.13	@2:3	ἂν	RP TR	@22					@22	@22	|
Jhn.16.13	@2:4	ἀκούσῃ	RP TR	@84					@23	@84	|
Jhn.16.16	@1:1	οὐκέτι	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Jhn.16.16	@1:2	οὐ	RP TR	@80					@3	@80	|
Jhn.16.16	@2:1	με	SBL WH Treg RP NA28 NA27 NIV TR	@11	@11	@11	@11	@11	@11	@11	|
Jhn.16.16	@2:2	ὅτι	RP TR	@12					@12	@12	|
Jhn.16.16	@2:3	ὑπάγω	RP TR	@14					@13	@14	|
Jhn.16.16	@2:4	πρὸς	RP TR	@15					@14	@15	|
Jhn.16.16	@2:5	τὸν	RP TR	@16					@15	@16	|
Jhn.16.16	@2:6	πατέρα	RP TR	@17					@16	@17	|
Jhn.16.17	@1:1	Ὅτι	SBL WH Treg RP NA28 NA27 NIV TR	@27	@27	@27	@27	@27	@27	@27	|
Jhn.16.17	@1:2	Ἐγὼ	RP TR	@28					@28	@28	|
Jhn.16.18	@1:1	Τί	SBL WH Treg NA28 NA27 NIV	@3	@3	@3	@3	@3			|
Jhn.16.18	@1:2	ἐστιν	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Jhn.16.18	@1:3	τοῦτο	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Jhn.16.18	@1:4	Τοῦτο	RP TR	@5					@3	@5	|
Jhn.16.18	@1:5	τί	RP TR	@3					@4	@3	|
Jhn.16.18	@1:6	ἐστιν	RP TR	@4					@5	@4	|
Jhn.16.18	@2:1	λέγει	SBL WH Treg RP NA28 NA27 NIV TR	@7	@7	@7	@7	@7	@7	@7	|
Jhn.16.18	@2:2	τὸ	RP NA28 NA27 NIV TR	@8			@8	@8	@8	@8	|
Jhn.16.19	@1:1	ἔγνω	SBL WH Treg RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Jhn.16.19	@1:2	ὁ	NA28 NA27 NIV	@3			@2	@3			|
Jhn.16.19	@1:3	οὖν	RP TR	@2					@2	@2	|
Jhn.16.19	@1:4	ὁ	RP TR	@3					@3	@3	|
Jhn.16.20	@1:1	ὑμεῖς	SBL WH Treg RP NA28 NA27 NIV TR	@14	@14	@14	@14	@14	@14	@14	|
Jhn.16.20	@1:2	δὲ	RP TR	@15					@15	@15	|
Jhn.16.22	@1:1	νῦν	SBL WH Treg NA28 NA27 NIV	@4	@4	@4	@4	@4			|
Jhn.16.22	@1:2	μὲν	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Jhn.16.22	@1:3	λύπην	SBL WH Treg NA28 NA27 NIV	@6	@6	@6	@6	@6			|
Jhn.16.22	@1:4	λύπην	RP TR	@6					@4	@6	|
Jhn.16.22	@1:5	μὲν	RP TR	@5					@5	@5	|
Jhn.16.22	@1:6	νῦν	RP TR	@4					@6	@4	|
Jhn.16.22	@2:1	αἴρει	SBL RP NA28 NA27 NIV TR	@22	@22	@22	@22	@22	@22	@22	|
Jhn.16.22	@2:2	ἀρεῖ	WH Treg								|
Jhn.16.23	@1:1	ἄν	SBL WH Treg NA28 NA27 NIV	@15	@14	@15	@14	@15			|
Jhn.16.23	@1:2	τι	SBL WH Treg NA28 NA27 NIV	@16	@15	@16	@15	@16			|
Jhn.16.23	@1:3	ὅτι	RP TR	@14					@14	@14	|
Jhn.16.23	@1:4	ὅσα	RP TR	@80					@15	@80	|
Jhn.16.23	@1:5	ἄν	RP TR	@15					@16	@15	|
Jhn.16.23	@2:1	δώσει	SBL WH Treg	@24	@19	@24					|
Jhn.16.23	@2:2	ὑμῖν	SBL WH Treg	@25	@20	@25					|
Jhn.16.23	@2:3	ἐν	SBL WH Treg	@20	@21	@20					|
Jhn.16.23	@2:4	τῷ	SBL WH Treg	@21	@22	@21					|
Jhn.16.23	@2:5	ὀνόματί	SBL WH Treg	@22	@23	@22					|
Jhn.16.23	@2:6	μου	SBL WH Treg	@23	@24	@23					|
Jhn.16.23	@2:7	ἐν	RP NA28 NA27 NIV TR	@20			@19	@20	@20	@20	|
Jhn.16.23	@2:8	τῷ	RP NA28 NA27 NIV TR	@21			@20	@21	@21	@21	|
Jhn.16.23	@2:9	ὀνόματί	RP NA28 NA27 NIV TR	@22			@21	@22	@22	@22	|
Jhn.16.23	@2:10	μου	RP NA28 NA27 NIV TR	@23			@22	@23	@23	@23	|
Jhn.16.23	@2:11	δώσει	RP NA28 NA27 NIV TR	@24			@23	@24	@24	@24	|
Jhn.16.23	@2:12	ὑμῖν	RP NA28 NA27 NIV TR	@25			@24	@25	@25	@25	|
Jhn.16.25	@1:1	ἔρχεται	SBL WH Treg NA28 NA27 NIV	@7	@6	@7	@6	@7			|
Jhn.16.25	@1:2	ἀλλʼ	RP TR	@6					@6	@6	|
Jhn.16.25	@1:3	ἔρχεται	RP TR	@7					@7	@7	|
Jhn.16.25	@2:1	ἀπαγγελῶ	SBL WH Treg NA28 NA27 NIV	@20	@19	@20	@19	@20			|
Jhn.16.25	@2:2	ἀναγγελῶ	RP TR	@80					@20	@80	|
Jhn.16.27	@1:1	θεοῦ	SBL RP NA28 NA27 NIV TR	@17	@17	@17	@17	@17	@17	@17	|
Jhn.16.27	@1:2	πατρὸς	WH Treg								|
Jhn.16.28	@1:1	ἐκ	SBL WH Treg	@80	@2	@80					|
Jhn.16.28	@1:2	παρὰ	RP NA28 NA27 NIV TR	@2			@2	@2	@2	@2	|
Jhn.16.29	@1:1	Λέγουσιν	SBL WH Treg RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Jhn.16.29	@1:2	αὐτῷ	RP TR	@2					@2	@2	|
Jhn.16.29	@2:1	ἐν	SBL WH Treg NA28 NA27 NIV	@8	@7	@8	@7	@8			|
Jhn.16.31	@1:1	αὐτοῖς	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Jhn.16.31	@1:2	ὁ	RP TR	@3					@3	@3	|
Jhn.16.32	@1:1	καὶ	SBL WH Treg NA28 NA27 NIV + RP	@4	@4	@4	@4	@4	@4	@4	|
Jhn.16.32	@1:2	νῦν	RP TR	@5					@5	@5	|
Jhn.17.1	@1:1	ἐλάλησεν	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Jhn.17.1	@1:2	ὁ	RP TR	@3					@3	@3	|
Jhn.17.1	@2:1	ἐπάρας	SBL WH Treg NA28 NA27 NIV	@6	@5	@6	@5	@6			|
Jhn.17.1	@2:2	τοὺς	SBL WH Treg NA28 NA27 NIV	@7	@6	@7	@6	@7			|
Jhn.17.1	@2:3	οὐρανὸν	SBL WH Treg NA28 NA27 NIV	@12	@11	@12	@11	@12			|
Jhn.17.1	@2:4	εἶπεν	SBL WH Treg NA28 NA27 NIV	@14	@12	@14	@12	@14			|
Jhn.17.1	@2:5	ἐπῆρεν	RP TR	@80					@6	@80	|
Jhn.17.1	@2:6	τοὺς	RP TR	@7					@7	@7	|
Jhn.17.1	@2:7	οὐρανὸν	RP TR	@12					@12	@12	|
Jhn.17.1	@2:8	καὶ	RP TR	@13					@13	@13	|
Jhn.17.1	@2:9	εἶπεν	RP TR	@14					@14	@14	|
Jhn.17.1	@3:1	ἵνα	SBL WH Treg RP NA28 NA27 NIV TR	@23	@21	@23	@21	@23	@23	@23	|
Jhn.17.1	@3:2	καὶ	RP TR	@24					@24	@24	|
Jhn.17.1	@4:1	υἱὸς	SBL WH Treg RP NA28 NA27 NIV TR	@26	@23	@26	@23	@26	@26	@26	|
Jhn.17.1	@4:2	σου	RP TR	@27					@27	@27	|
Jhn.17.2	@1:1	δώσῃ	SBL Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Jhn.17.2	@1:2	δώσει	WH RP TR	@80					@12	@80	|
Jhn.17.4	@1:1	τελειώσας	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Jhn.17.4	@1:2	ἐτελείωσα	RP TR	@80					@9	@80	|
Jhn.17.6	@1:1	ἔδωκάς	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.17.6	@1:2	δέδωκάς	RP TR	@82					@8	@82	|
Jhn.17.6	@2:1	ἔδωκας	SBL WH Treg NA28 NA27 NIV	@17	@17	@17	@17	@17			|
Jhn.17.6	@2:2	δέδωκας	RP TR	@83					@18	@83	|
Jhn.17.7	@1:1	δέδωκάς	SBL Treg RP NA28 NA27 NIV TR	@6	@6	@6	@6	@6	@6	@6	|
Jhn.17.7	@1:2	ἔδωκάς	WH								|
Jhn.17.7	@2:1	εἰσιν	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Jhn.17.7	@2:2	ἐστιν	RP TR	@80					@10	@80	|
Jhn.17.8	@1:1	ἔδωκάς	SBL WH Treg NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Jhn.17.8	@1:2	δέδωκάς	RP TR	@80					@5	@80	|
Jhn.17.11	@1:1	αὐτοὶ	SBL WH NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.17.11	@1:2	οὗτοι	Treg RP TR	@80					@8	@80	|
Jhn.17.11	@2:1	καθὼς	SBL WH Treg RP NA28 NA27 NIV TR	@31	@31	@31	@31	@31	@32	@31	|
Jhn.17.11	@2:2	καὶ	Treg								|
Jhn.17.12	@1:1	αὐτῶν	SBL WH Treg RP NA28 NA27 NIV TR	@4	@4	@4	@4	@4	@4	@4	|
Jhn.17.12	@1:2	ἐν	RP TR	@5					@5	@5	|
Jhn.17.12	@1:3	τῷ	RP TR	@6					@6	@6	|
Jhn.17.12	@1:4	κόσμῳ	RP TR	@7					@7	@7	|
Jhn.17.12	@2:1	ᾧ	SBL WH Treg NA28 NA27 NIV	@15	@12	@15	@12	@15			|
Jhn.17.12	@2:2	οὓς	RP TR	@80					@15	@80	|
Jhn.17.12	@3:1	καὶ	SBL WH Treg NA28 NA27 NIV	@18	@15	@18	@15	@18			|
Jhn.17.13	@1:1	ἑαυτοῖς	SBL WH Treg NA28 NA27 NIV	@20	@20	@20	@20	@20			|
Jhn.17.13	@1:2	αὐτοῖς	RP TR	@20					@20	@20	|
Jhn.17.16	@1:1	οὐκ	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.17.16	@1:2	εἰμὶ	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Jhn.17.16	@1:3	ἐκ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Jhn.17.16	@1:4	τοῦ	SBL WH Treg NA28 NA27 NIV	@11	@11	@11	@11	@11			|
Jhn.17.16	@1:5	κόσμου	SBL WH Treg NA28 NA27 NIV	@12	@12	@12	@12	@12			|
Jhn.17.16	@1:6	ἐκ	RP TR	@10					@8	@10	|
Jhn.17.16	@1:7	τοῦ	RP TR	@11					@9	@11	|
Jhn.17.16	@1:8	κόσμου	RP TR	@12					@10	@12	|
Jhn.17.16	@1:9	οὐκ	RP TR	@8					@11	@8	|
Jhn.17.16	@1:10	εἰμὶ	RP TR	@9					@12	@9	|
Jhn.17.17	@1:1	ἀληθείᾳ	SBL WH Treg RP NA28 NA27 NIV TR	@5	@5	@5	@5	@5	@5	@5	|
Jhn.17.17	@1:2	σου	RP TR	@6					@6	@6	|
Jhn.17.19	@1:1	ὦσιν	SBL WH Treg NA28 NA27 NIV	@8	@8	@8	@8	@8			|
Jhn.17.19	@1:2	καὶ	SBL WH Treg NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Jhn.17.19	@1:3	αὐτοὶ	SBL WH Treg NA28 NA27 NIV	@10	@10	@10	@10	@10			|
Jhn.17.19	@1:4	καὶ	RP TR	@9					@8	@9	|
Jhn.17.19	@1:5	αὐτοὶ	RP TR	@10					@9	@10	|
Jhn.17.19	@1:6	ὦσιν	RP TR	@8					@10	@8	|
Jhn.17.21	@1:1	πάτερ	SBL WH RP NA28 NA27 NIV TR	@7	@7	@7	@7	@7	@7	@7	|
Jhn.17.21	@1:2	πατὴρ	Treg								|
Jhn.17.21	@2:1	ἡμῖν	SBL WH Treg RP NA28 NA27 NIV TR	@17	@17	@17	@17	@17	@17	@17	|
Jhn.17.21	@2:2	ἓν	RP TR	@18					@18	@18	|
Jhn.17.21	@3:1	πιστεύῃ	SBL WH Treg NA28 NA27 NIV	@23	@22	@23	@22	@23			|
Jhn.17.21	@3:2	πιστεύσῃ	RP TR	@80					@23	@80	|
Jhn.17.22	@1:1	ἕν	SBL WH Treg RP NA28 NA27 NIV TR	@14	@14	@14	@14	@14	@15	@14	|
Jhn.17.22	@1:2	ἐσμεν	RP TR	@15					@16	@15	|
Jhn.17.23	@1:1	ἵνα	SBL WH Treg NA28 NA27 NIV	@14	@13	@14	@13	@14			|
Jhn.17.23	@1:2	καὶ	RP TR	@13					@13	@13	|
Jhn.17.23	@1:3	ἵνα	RP TR	@14					@14	@14	|
Jhn.17.24	@1:1	πάτερ	SBL WH RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Jhn.17.24	@1:2	Πατήρ	Treg								|
Jhn.17.24	@2:1	ὃ	SBL WH Treg NA28 NA27 NIV	@2	@2	@2	@2	@2			|
Jhn.17.24	@2:2	οὕς	RP TR	@80					@2	@80	|
Jhn.17.24	@3:1	δέδωκάς	SBL WH Treg NA28 NA27 NIV	@21	@21	@21	@21	@21			|
Jhn.17.24	@3:2	ἔδωκάς	RP TR	@81					@21	@81	|
Jhn.17.25	@1:1	Πάτερ	SBL WH RP NA28 NA27 NIV TR	@1	@1	@1	@1	@1	@1	@1	|
Jhn.17.25	@1:2	Πατὴρ	Treg								|
Jhn.18.1	@1:1	εἰπὼν	SBL WH Treg RP NA28 NA27 NIV TR	@2	@2	@2	@2	@2	@2	@2	|
Jhn.18.1	@1:2	ὁ	RP TR	@3					@3	@3	|
Jhn.18.1	@2:1	τοῦ	SBL Treg NA28 NA27 NIV	@13	@12	@13	@12	@13			|
Jhn.18.1	@2:2	τῶν	WH RP TR	@80					@13	@80	|
Jhn.18.2	@1:1	συνήχθη	SBL WH Treg RP NA28 NA27 NIV TR	@12	@12	@12	@12	@12	@12	@12	|
Jhn.18.2	@1:2	ὁ	RP TR	@13					@13	@13	|
